#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h58 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A2 : scenario pessimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
1784;42.4211;2.3851;A2;H1;3.58;4.55;0.15;0;
1785;42.421;2.482;A2;H1;3.87;6.45;0.05;0;
1786;42.4209;2.5789;A2;H1;5.19;14.1;0.55;0;
1787;42.4206;2.6759;A2;H1;4.44;9.05;0.1;0;
1788;42.4202;2.7728;A2;H1;5.2;11.4;0.35;0;
1849;42.2315;8.6723;A2;H1;7.55;41.15;3.85;0.65;
1850;42.2256;8.7686;A2;H1;6.4;28.6;5.25;1.3;
1851;42.2197;8.8649;A2;H1;4.84;18.15;1.15;0.1;
1852;42.2137;8.9611;A2;H1;4.26;10.1;0.15;0;
1853;42.2076;9.0574;A2;H1;4.07;8.4;0.05;0;
1854;42.2015;9.1536;A2;H1;5.86;22.3;1.45;0.05;
1855;42.1952;9.2498;A2;H1;8.65;41.45;2.6;0.1;
1856;42.1889;9.346;A2;H1;9.43;55.95;3.55;0.35;
1857;42.1824;9.4421;A2;H1;9.89;57.55;3;0.2;
1918;42.4897;1.5116;A2;H1;4.14;12.5;1.55;0.2;
1919;42.4905;1.6087;A2;H1;3.4;3.4;0.05;0;
1920;42.4911;1.7057;A2;H1;3.62;2.3;0;0;
1921;42.4916;1.8028;A2;H1;3.88;6.15;0.25;0;
1922;42.4921;1.8998;A2;H1;4.35;11.7;1.4;0;
1923;42.4924;1.9969;A2;H1;4.8;15.4;2.45;0.25;
1924;42.4927;2.0939;A2;H1;4.95;16.7;2.9;0.4;
1925;42.4929;2.191;A2;H1;4.84;10.9;0.85;0;
1926;42.4929;2.2881;A2;H1;4.91;11.85;0.75;0.1;
1927;42.4929;2.3851;A2;H1;4.93;11.95;0.85;0.1;
1928;42.4929;2.4822;A2;H1;3.54;4.05;0.1;0;
1929;42.4927;2.5792;A2;H1;4.15;8.3;0.1;0;
1930;42.4924;2.6763;A2;H1;7.23;27.95;2.65;0.4;
1931;42.4921;2.7733;A2;H1;12.35;76.25;14.15;2.55;
1932;42.4916;2.8704;A2;H1;10.65;58.55;7.15;1.45;
1933;42.4911;2.9674;A2;H1;11.43;65;11.25;2.35;
1934;42.4905;3.0645;A2;H1;18.08;120.35;38.3;15.35;
1992;42.303;8.6801;A2;H1;8.52;50.6;3.9;0.45;
1993;42.2972;8.7765;A2;H1;4.92;15.2;0.8;0;
1994;42.2913;8.8729;A2;H1;4.41;10.65;0.15;0;
1995;42.2853;8.9693;A2;H1;4.3;9.8;0.1;0;
1996;42.2792;9.0656;A2;H1;4.59;11.85;0.25;0;
1997;42.273;9.162;A2;H1;7.86;35.25;2.05;0.05;
1998;42.2667;9.2583;A2;H1;6.28;23.9;0.4;0;
1999;42.2604;9.3546;A2;H1;6.51;26.4;0.9;0;
2000;42.2539;9.4509;A2;H1;8.88;46.05;2.65;0.15;
2061;42.5616;1.5106;A2;H1;3.69;10.55;0.7;0.15;
2062;42.5623;1.6078;A2;H1;3.44;6.3;0.05;0;
2063;42.5629;1.7049;A2;H1;3.41;4.45;0;0;
2064;42.5634;1.8021;A2;H1;3.92;8.45;0.35;0;
2065;42.5639;1.8993;A2;H1;4.05;4.5;0;0;
2066;42.5642;1.9965;A2;H1;3.88;6.15;0.2;0;
2067;42.5645;2.0936;A2;H1;4.38;13;1.65;0;
2068;42.5647;2.1908;A2;H1;4.9;11.85;0.7;0;
2069;42.5648;2.288;A2;H1;5.11;12.15;0.3;0;
2070;42.5648;2.3852;A2;H1;6.55;22.65;0.9;0.1;
2071;42.5647;2.4823;A2;H1;5.37;15;0.3;0;
2072;42.5645;2.5795;A2;H1;6.52;23.35;0.45;0;
2073;42.5642;2.6767;A2;H1;9.63;48.85;6.45;0.6;
2074;42.5639;2.7739;A2;H1;12.47;77.45;14.4;2.75;
2075;42.5634;2.8711;A2;H1;22.49;168.8;59.85;19.65;
2076;42.5629;2.9682;A2;H1;24.1;178.1;67.2;25.15;
2135;42.3746;8.6879;A2;H1;11.97;73.7;16.35;4.9;
2136;42.3688;8.7844;A2;H1;6.24;25.15;1.8;0.15;
2137;42.3629;8.8809;A2;H1;4.26;10.1;0.15;0;
2138;42.3568;8.9774;A2;H1;4.21;9.05;0.1;0;
2139;42.3507;9.0739;A2;H1;4.98;14.75;1;0;
2140;42.3446;9.1704;A2;H1;6.75;26.75;1.4;0.05;
2141;42.3383;9.2668;A2;H1;4.99;13.15;0.25;0;
2142;42.3319;9.3632;A2;H1;5.72;19.1;0.35;0;
2143;42.3254;9.4596;A2;H1;8.32;42.5;1.9;0.05;
2203;42.6326;1.4123;A2;H1;2.78;1.05;0;0;
2204;42.6334;1.5096;A2;H1;3.62;5.55;0;0;
2205;42.6341;1.6069;A2;H1;2.71;2.4;0;0;
2206;42.6347;1.7042;A2;H1;2.64;2.7;0;0;
2207;42.6353;1.8014;A2;H1;2.63;4.25;0;0;
2208;42.6357;1.8987;A2;H1;2.57;3.05;0;0;
