#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 07h56 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     A1B : Sc�nario interm�diaire
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
1781;42.4208;2.0942;A1B;H1;4.56;8.7;0.75;0.05;
1782;42.421;2.1912;A1B;H1;4.91;5.8;0.7;0.05;
1784;42.4211;2.3851;A1B;H1;3.63;5.85;0.55;0;
1785;42.421;2.482;A1B;H1;3.9;6.95;0.2;0;
1786;42.4209;2.5789;A1B;H1;5.25;13.45;1.05;0;
1787;42.4206;2.6759;A1B;H1;4.48;8.7;0.3;0;
1788;42.4202;2.7728;A1B;H1;5.21;14.8;1.2;0.05;
1849;42.2315;8.6723;A1B;H1;7.67;40.4;4.95;0.2;
1850;42.2256;8.7686;A1B;H1;6.57;31.3;6.6;1.5;
1851;42.2197;8.8649;A1B;H1;4.89;19.65;0.95;0;
1852;42.2137;8.9611;A1B;H1;4.34;11.35;0.15;0;
1853;42.2076;9.0574;A1B;H1;4.21;11.95;0;0;
1854;42.2015;9.1536;A1B;H1;6.07;23.85;2.5;0;
1855;42.1952;9.2498;A1B;H1;8.94;46.6;3.65;0.05;
1856;42.1889;9.346;A1B;H1;9.67;58.05;4.75;0.85;
1857;42.1824;9.4421;A1B;H1;10.15;60.95;4.05;0.25;
1918;42.4897;1.5116;A1B;H1;4.35;15.35;2.6;0.5;
1919;42.4905;1.6087;A1B;H1;3.53;4.8;0.15;0;
1920;42.4911;1.7057;A1B;H1;3.74;3.35;0;0;
1921;42.4916;1.8028;A1B;H1;4.09;4.95;0.8;0.2;
1922;42.4921;1.8998;A1B;H1;4.61;12.35;1.2;0.35;
1923;42.4924;1.9969;A1B;H1;5.11;16.05;1.9;0.8;
1924;42.4927;2.0939;A1B;H1;5.3;17.8;2.65;0.95;
1925;42.4929;2.191;A1B;H1;4.85;10.35;1.25;0.05;
1926;42.4929;2.2881;A1B;H1;4.91;11.7;1;0.05;
1927;42.4929;2.3851;A1B;H1;4.92;11.6;1.05;0.05;
1928;42.4929;2.4822;A1B;H1;3.57;4.7;0.25;0;
1929;42.4927;2.5792;A1B;H1;4.56;11.25;0.55;0;
1930;42.4924;2.6763;A1B;H1;8.04;31.55;6.2;1.9;
1931;42.4921;2.7733;A1B;H1;13.38;83;17;5.65;
1932;42.4916;2.8704;A1B;H1;10.69;58.3;9.4;2.1;
1933;42.4911;2.9674;A1B;H1;11.46;64;14.3;3.05;
1934;42.4905;3.0645;A1B;H1;18.39;114.15;40.8;18.1;
1992;42.303;8.6801;A1B;H1;8.64;49.9;5.2;0.15;
1993;42.2972;8.7765;A1B;H1;5.01;17.3;0.35;0;
1994;42.2913;8.8729;A1B;H1;4.47;12.3;0.05;0;
1995;42.2853;8.9693;A1B;H1;4.43;13.2;0;0;
1996;42.2792;9.0656;A1B;H1;4.74;15.05;0.5;0;
1997;42.273;9.162;A1B;H1;8.12;39.75;3.3;0;
