#-----------------------------------------------------------------------------
# Date d'extraction : 31/08/2021 - 08h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DSM
# Experience : IFM2009
# Modele     : ARPEGE_V4_CNRM (SST_CNRM)
# Scenario :
#     REF : r�f�rence
#-----------------------------------------------------------------------------
# Horizons :
#     REF : R�f�rence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORIFM : Indicateur feux de for�t
#     NORIFM20 : Indicateur feux de for�t nbj sup � 20
#     NORIFM40 : Indicateur feux de for�t nbj sup � 40
#     NORIFM60 : Indicateur feux de for�t nbj sup � 60
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORIFM;NORIFM20;NORIFM40;NORIFM60;
1785;42.421;2.482;REF;REF;4.07;4.9;0;0;
1786;42.4209;2.5789;REF;REF;5.74;16.65;0.1;0;
1787;42.4206;2.6759;REF;REF;4.89;10.05;0.1;0;
1788;42.4202;2.7728;REF;REF;5.79;17.2;0.1;0;
1849;42.2315;8.6723;REF;REF;10.05;73;14.55;0.8;
1850;42.2256;8.7686;REF;REF;9.87;66.9;20.75;3.7;
1851;42.2197;8.8649;REF;REF;5.98;37.15;3.5;0;
1852;42.2137;8.9611;REF;REF;4.25;13.05;0.15;0;
1853;42.2076;9.0574;REF;REF;4.21;12.55;0.15;0;
1854;42.2015;9.1536;REF;REF;7.92;52.9;4.75;0.2;
1855;42.1952;9.2498;REF;REF;11.14;80.15;10.75;0.65;
1856;42.1889;9.346;REF;REF;10.48;78.45;8.55;0.5;
1857;42.1824;9.4421;REF;REF;10.5;74.1;5.15;0.95;
1918;42.4897;1.5116;REF;REF;5.93;22.25;0.95;0;
1919;42.4905;1.6087;REF;REF;3.89;3.4;0.1;0;
1920;42.4911;1.7057;REF;REF;3.93;2.6;0.05;0;
1921;42.4916;1.8028;REF;REF;4.48;6.25;0.15;0;
1922;42.4921;1.8998;REF;REF;5.49;12.9;0.35;0.05;
1923;42.4924;1.9969;REF;REF;6.44;21.2;1.2;0.05;
1924;42.4927;2.0939;REF;REF;6.8;25.3;1.6;0.05;
1925;42.4929;2.191;REF;REF;5.71;17.5;0.5;0;
1926;42.4929;2.2881;REF;REF;5.97;21.2;0.6;0;
1927;42.4929;2.3851;REF;REF;6.03;22.2;0.8;0;
1928;42.4929;2.4822;REF;REF;3.26;0.95;0.05;0;
1929;42.4927;2.5792;REF;REF;4.59;8.35;0.1;0;
1930;42.4924;2.6763;REF;REF;8.53;43.35;2.85;0;
1931;42.4921;2.7733;REF;REF;13.72;95.3;19.7;3.35;
1932;42.4916;2.8704;REF;REF;12.9;87.85;18.15;3.6;
1933;42.4911;2.9674;REF;REF;12;75.85;16.15;2.55;
1934;42.4905;3.0645;REF;REF;16.54;108.95;35.05;12.75;
1992;42.303;8.6801;REF;REF;10.69;78.7;15.1;0.6;
1993;42.2972;8.7765;REF;REF;5.93;33.4;1.5;0;
1994;42.2913;8.8729;REF;REF;4.83;20.6;0.25;0;
1995;42.2853;8.9693;REF;REF;5.03;22.75;0.3;0;
1996;42.2792;9.0656;REF;REF;5.65;30.1;0.9;0;
1997;42.273;9.162;REF;REF;10.15;71.75;7.7;0.4;
1998;42.2667;9.2583;REF;REF;7.65;47.75;2.45;0.05;
1999;42.2604;9.3546;REF;REF;8.02;51.85;3.45;0.15;
2000;42.2539;9.4509;REF;REF;9.88;69.55;5.4;0.6;
2061;42.5616;1.5106;REF;REF;4.88;12.35;0.25;0;
2062;42.5623;1.6078;REF;REF;4.11;5.4;0.05;0;
2063;42.5629;1.7049;REF;REF;3.89;3.25;0.1;0;
2064;42.5634;1.8021;REF;REF;4.72;8.2;0.2;0;
2065;42.5639;1.8993;REF;REF;4.37;3.15;0.05;0;
2066;42.5642;1.9965;REF;REF;4.47;5.75;0.1;0;
2067;42.5645;2.0936;REF;REF;5.79;18.6;0.95;0.05;
2068;42.5647;2.1908;REF;REF;5.91;19.45;0.55;0;
2069;42.5648;2.288;REF;REF;5.57;13.35;0.1;0;
2070;42.5648;2.3852;REF;REF;7.34;29.6;0.45;0;
2071;42.5647;2.4823;REF;REF;5.86;15.4;0;0;
2072;42.5645;2.5795;REF;REF;7.35;32.8;0.35;0;
2073;42.5642;2.6767;REF;REF;11.48;75.25;11.1;1.4;
2074;42.5639;2.7739;REF;REF;13.72;95.05;19.3;3.2;
2075;42.5634;2.8711;REF;REF;18.65;136.55;43.9;11.35;
2076;42.5629;2.9682;REF;REF;19.49;142.55;48.7;13.6;
2135;42.3746;8.6879;REF;REF;12.73;90.4;20.55;5.35;
2136;42.3688;8.7844;REF;REF;8.09;54.15;5.1;0.2;
2137;42.3629;8.8809;REF;REF;4.26;13.45;0.15;0;
2138;42.3568;8.9774;REF;REF;4.8;20.35;0.25;0;
2139;42.3507;9.0739;REF;REF;6.51;39.15;2.7;0.05;
2140;42.3446;9.1704;REF;REF;8.45;56.9;4.35;0.2;
2141;42.3383;9.2668;REF;REF;5.74;27.2;0.35;0;
2142;42.3319;9.3632;REF;REF;6.7;36.95;1;0;
2143;42.3254;9.4596;REF;REF;9.28;64.15;3.9;0.4;
2203;42.6326;1.4123;REF;REF;2.67;0.8;0;0;
2204;42.6334;1.5096;REF;REF;3.89;3.15;0.1;0;
2205;42.6341;1.6069;REF;REF;2.58;0.65;0;0;
2206;42.6347;1.7042;REF;REF;2.57;0.85;0;0;
2207;42.6353;1.8014;REF;REF;2.77;2.45;0.05;0;
2208;42.6357;1.8987;REF;REF;2.57;1.3;0;0;
2209;42.6361;1.996;REF;REF;2.57;0.85;0;0;
2210;42.6363;2.0933;REF;REF;6.12;21.7;1.45;0.05;
2211;42.6365;2.1906;REF;REF;3;1.6;0;0;
2212;42.6366;2.2879;REF;REF;5.48;13.1;0.15;0;
2213;42.6366;2.3852;REF;REF;7.12;27.35;0.3;0;
2214;42.6365;2.4825;REF;REF;10.98;70.35;8.75;0.7;
2215;42.6363;2.5798;REF;REF;13.67;93.6;21.75;5.15;
2216;42.6361;2.6771;REF;REF;13.75;94.85;21.05;4.25;
2217;42.6357;2.7744;REF;REF;18.09;132.3;41.15;9.8;
2218;42.6353;2.8717;REF;REF;18.92;138.15;45.45;12;
2219;42.6347;2.969;REF;REF;19.7;144.4;49.7;14.3;
2278;42.4462;8.6957;REF;REF;12.87;90.6;20.7;5.95;
2279;42.4404;8.7924;REF;REF;10.59;74;16.95;1;
2280;42.4344;8.889;REF;REF;4.61;17.45;0.2;0;
2281;42.4284;8.9856;REF;REF;5.23;25.95;0.4;0;
2282;42.4223;9.0822;REF;REF;6.67;40.95;3.1;0.05;
2283;42.4161;9.1788;REF;REF;11.01;78.8;10.05;0.6;
2284;42.4098;9.2753;REF;REF;6.51;35.25;0.9;0;
2285;42.4034;9.3719;REF;REF;8.75;60.55;4.25;0.2;
2286;42.397;9.4684;REF;REF;10.1;71.3;5.25;0.75;
2336;42.6915;0.4373;REF;REF;2.62;0.9;0.05;0;
2337;42.6932;0.5346;REF;REF;2.52;0.55;0.05;0;
2338;42.6948;0.632;REF;REF;2.16;0.5;0;0;
2346;42.7044;1.4111;REF;REF;2.74;1.85;0.1;0;
2347;42.7052;1.5086;REF;REF;2.78;2.5;0.05;0;
2348;42.706;1.606;REF;REF;2.8;2.25;0.1;0;
2349;42.7066;1.7034;REF;REF;2.96;4.3;0.05;0;
2350;42.7071;1.8008;REF;REF;3.61;6.45;0.05;0;
2351;42.7076;1.8982;REF;REF;3.32;5.45;0.05;0;
2352;42.7079;1.9956;REF;REF;2.78;2.45;0.05;0;
2353;42.7082;2.093;REF;REF;4.66;10.3;0.3;0;
2354;42.7084;2.1905;REF;REF;3.62;5.3;0.15;0;
2355;42.7085;2.2879;REF;REF;3.59;5.3;0.1;0;
2356;42.7085;2.3853;REF;REF;5.65;19.5;0;0;
2357;42.7084;2.4827;REF;REF;8.21;47.75;1.8;0;
2358;42.7082;2.5801;REF;REF;10.66;72.35;9.55;0.45;
2359;42.7079;2.6775;REF;REF;12.4;88.45;16.2;1.6;
2360;42.7076;2.775;REF;REF;17.89;131.2;40.2;9.55;
2361;42.7071;2.8724;REF;REF;19.18;140.6;46.75;12.65;
2362;42.7066;2.9698;REF;REF;19.68;144.15;49.55;14.15;
2421;42.5178;8.7036;REF;REF;12.84;89.75;20.1;5.75;
