years,ssp119,ssp126,ssp585
1895.0,1599293.6827814153,1599293.6827814153,1599293.6827814153
1896.0,1647957.922703168,1647957.922703168,1647957.922703168
1897.0,1725440.8676734273,1725440.8676734273,1725440.8676734273
1898.0,1820809.3877500356,1820809.3877500356,1820809.3877500356
1899.0,1991619.263550826,1991619.263550826,1991619.263550826
1900.0,2103069.277164464,2103069.277164464,2103069.277164464
1901.0,2174827.862254411,2174827.862254411,2174827.862254411
1902.0,2232268.588827041,2232268.588827041,2232268.588827041
1903.0,2434098.787104653,2434098.787104653,2434098.787104653
1904.0,2463630.4644982214,2463630.4644982214,2463630.4644982214
1905.0,2612907.479476993,2612907.479476993,2612907.479476993
1906.0,2794417.822805711,2794417.822805711,2794417.822805711
1907.0,3126270.475330255,3126270.475330255,3126270.475330255
1908.0,3019912.944428554,3019912.944428554,3019912.944428554
1909.0,3130427.303119149,3130427.303119149,3130427.303119149
1910.0,3297422.6488925796,3297422.6488925796,3297422.6488925796
1911.0,3359184.6158844647,3359184.6158844647,3359184.6158844647
1912.0,3534226.5161247253,3534226.5161247253,3534226.5161247253
1913.0,3785216.964139563,3785216.964139563,3785216.964139563
1914.0,3409591.470273695,3409591.470273695,3409591.470273695
1915.0,3373356.1485918746,3373356.1485918746,3373356.1485918746
1916.0,3635709.502452047,3635709.502452047,3635709.502452047
1917.0,3756254.0825751754,3756254.0825751754,3756254.0825751754
1918.0,3693615.620044561,3693615.620044561,3693615.620044561
1919.0,3200710.349937134,3200710.349937134,3200710.349937134
1920.0,3698208.3530066255,3698208.3530066255,3698208.3530066255
1921.0,3230837.2151071317,3230837.2151071317,3230837.2151071317
1922.0,3404778.8305087076,3404778.8305087076,3404778.8305087076
1923.0,3814102.8960727835,3814102.8960727835,3814102.8960727835
1924.0,3860590.305456339,3860590.305456339,3860590.305456339
1925.0,3907723.3427194185,3907723.3427194185,3907723.3427194185
1926.0,3952838.2285531815,3952838.2285531815,3952838.2285531815
1927.0,4259061.989312989,4259061.989312989,4259061.989312989
1928.0,4253686.675562963,4253686.675562963,4253686.675562963
