#-----------------------------------------------------------------------------
# Date d'extraction : 01/09/2021 - 16h09 loc.
#-----------------------------------------------------------------------------
# Producteur : DCLIM
# Experience : CLIMSEC
# Modele     : ARPEGE_RETIC
# Scenario :
#     B1 : scenario optimiste
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSPI : Indicateur s�cheresse m�t�orologique
#-----------------------------------------------------------------------------
# Format des enregistrements 
Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
1999;42.2604;9.3546;B1;H1;0.13;
2000;42.2539;9.4509;B1;H1;-0.12;
2061;42.5616;1.5106;B1;H1;0.16;
2062;42.5623;1.6078;B1;H1;0.15;
2063;42.5629;1.7049;B1;H1;0.15;
2064;42.5634;1.8021;B1;H1;0.04;
2065;42.5639;1.8993;B1;H1;0.04;
2066;42.5642;1.9965;B1;H1;0.04;
2067;42.5645;2.0936;B1;H1;0.04;
2068;42.5647;2.1908;B1;H1;-0.24;
2069;42.5648;2.288;B1;H1;-0.28;
2070;42.5648;2.3852;B1;H1;-0.27;
2071;42.5647;2.4823;B1;H1;-0.28;
2072;42.5645;2.5795;B1;H1;-0.54;
2073;42.5642;2.6767;B1;H1;-0.55;
2074;42.5639;2.7739;B1;H1;-0.55;
2075;42.5634;2.8711;B1;H1;-0.51;
2076;42.5629;2.9682;B1;H1;-0.51;
2135;42.3746;8.6879;B1;H1;-0.14;
2136;42.3688;8.7844;B1;H1;-0.23;
2137;42.3629;8.8809;B1;H1;-0.22;
2138;42.3568;8.9774;B1;H1;-0.23;
2139;42.3507;9.0739;B1;H1;-0.23;
2140;42.3446;9.1704;B1;H1;0.26;
2141;42.3383;9.2668;B1;H1;0.14;
2142;42.3319;9.3632;B1;H1;0.14;
2143;42.3254;9.4596;B1;H1;-0.12;
2203;42.6326;1.4123;B1;H1;-0.32;
2204;42.6334;1.5096;B1;H1;0.15;
2205;42.6341;1.6069;B1;H1;-0.32;
2206;42.6347;1.7042;B1;H1;-0.31;
2207;42.6353;1.8014;B1;H1;-0.33;
2208;42.6357;1.8987;B1;H1;-0.31;
2209;42.6361;1.996;B1;H1;-0.31;
2210;42.6363;2.0933;B1;H1;0.03;
2211;42.6365;2.1906;B1;H1;-0.45;
2212;42.6366;2.2879;B1;H1;-0.27;
2213;42.6366;2.3852;B1;H1;-0.27;
2214;42.6365;2.4825;B1;H1;-0.55;
2215;42.6363;2.5798;B1;H1;-0.55;
2216;42.6361;2.6771;B1;H1;-0.55;
2217;42.6357;2.7744;B1;H1;-0.51;
2218;42.6353;2.8717;B1;H1;-0.51;
2219;42.6347;2.969;B1;H1;-0.51;
2278;42.4462;8.6957;B1;H1;-0.14;
2279;42.4404;8.7924;B1;H1;-0.13;
2280;42.4344;8.889;B1;H1;-0.23;
2281;42.4284;8.9856;B1;H1;-0.23;
2282;42.4223;9.0822;B1;H1;-0.23;
2283;42.4161;9.1788;B1;H1;0.27;
2284;42.4098;9.2753;B1;H1;0.14;
2285;42.4034;9.3719;B1;H1;0.13;
2286;42.397;9.4684;B1;H1;-0.12;
2336;42.6915;0.4373;B1;H1;-0.21;
2337;42.6932;0.5346;B1;H1;-0.27;
2338;42.6948;0.632;B1;H1;-0.28;
2346;42.7044;1.4111;B1;H1;-0.32;
2347;42.7052;1.5086;B1;H1;-0.33;
2348;42.706;1.606;B1;H1;-0.32;
2349;42.7066;1.7034;B1;H1;-0.34;
2350;42.7071;1.8008;B1;H1;-0.33;
2351;42.7076;1.8982;B1;H1;-0.34;
2352;42.7079;1.9956;B1;H1;-0.33;
2353;42.7082;2.093;B1;H1;-0.19;
2354;42.7084;2.1905;B1;H1;-0.45;
2355;42.7085;2.2879;B1;H1;-0.45;
2356;42.7085;2.3853;B1;H1;-0.41;
2357;42.7084;2.4827;B1;H1;-0.42;
2358;42.7082;2.5801;B1;H1;-0.41;
2359;42.7079;2.6775;B1;H1;-0.41;
2360;42.7076;2.775;B1;H1;-0.51;
2361;42.7071;2.8724;B1;H1;-0.51;
2362;42.7066;2.9698;B1;H1;-0.51;
2421;42.5178;8.7036;B1;H1;-0.14;
2422;42.512;8.8003;B1;H1;-0.14;
2423;42.506;8.8971;B1;H1;-0.13;
2424;42.5;8.9938;B1;H1;-0.23;
2425;42.4939;9.0905;B1;H1;-0.22;
2426;42.4877;9.1872;B1;H1;0.26;
2427;42.4814;9.2839;B1;H1;0.26;
2428;42.475;9.3805;B1;H1;-0.12;
2429;42.4685;9.4772;B1;H1;-0.12;
2474;42.7535;-0.0524;B1;H1;-0.18;
2475;42.7557;0.045;B1;H1;-0.19;
2476;42.7577;0.1425;B1;H1;-0.19;
2477;42.7597;0.24;B1;H1;-0.19;
2478;42.7616;0.3374;B1;H1;-0.19;
2479;42.7634;0.4349;B1;H1;-0.2;
2480;42.765;0.5324;B1;H1;-0.29;
2481;42.7667;0.6299;B1;H1;-0.29;
2484;42.7709;0.9224;B1;H1;-0.31;
2486;42.7733;1.1174;B1;H1;-0.32;
2487;42.7744;1.2149;B1;H1;-0.32;
2488;42.7754;1.3125;B1;H1;-0.32;
2489;42.7763;1.41;B1;H1;-0.32;
2490;42.7771;1.5075;B1;H1;-0.33;
2491;42.7778;1.6051;B1;H1;-0.33;
2492;42.7784;1.7026;B1;H1;-0.33;
2493;42.779;1.8001;B1;H1;-0.34;
2494;42.7794;1.8977;B1;H1;-0.34;
2495;42.7798;1.9952;B1;H1;-0.45;
2496;42.78;2.0927;B1;H1;-0.45;
2497;42.7802;2.1903;B1;H1;-0.46;
2498;42.7803;2.2878;B1;H1;-0.46;
2499;42.7803;2.3854;B1;H1;-0.42;
2500;42.7802;2.4829;B1;H1;-0.41;
2501;42.78;2.5804;B1;H1;-0.41;
2502;42.7798;2.678;B1;H1;-0.41;
2503;42.7794;2.7755;B1;H1;-0.51;
2504;42.779;2.873;B1;H1;-0.51;
2505;42.7784;2.9706;B1;H1;-0.51;
2565;42.5835;8.8083;B1;H1;-0.14;
2566;42.5776;8.9052;B1;H1;-0.14;
2567;42.5716;9.002;B1;H1;-0.14;
2568;42.5654;9.0989;B1;H1;-0.14;
2569;42.5592;9.1957;B1;H1;-0.14;
2570;42.5529;9.2925;B1;H1;-0.17;
2571;42.5465;9.3892;B1;H1;-0.12;
2572;42.54;9.486;B1;H1;-0.12;
2612;42.8133;-0.5431;B1;H1;-0.37;
2613;42.8159;-0.4456;B1;H1;-0.37;
2614;42.8184;-0.3481;B1;H1;-0.37;
2615;42.8208;-0.2505;B1;H1;-0.2;
2616;42.8231;-0.1529;B1;H1;-0.18;
2617;42.8254;-0.0554;B1;H1;-0.18;
2618;42.8275;0.0422;B1;H1;-0.21;
2619;42.8296;0.1398;B1;H1;-0.2;
2620;42.8315;0.2374;B1;H1;-0.21;
2621;42.8334;0.335;B1;H1;-0.18;
2622;42.8352;0.4326;B1;H1;-0.2;
2623;42.8369;0.5302;B1;H1;-0.29;
2624;42.8385;0.6278;B1;H1;-0.29;
2626;42.8414;0.823;B1;H1;-0.29;
2627;42.8428;0.9206;B1;H1;-0.32;
2628;42.844;1.0183;B1;H1;-0.32;
2629;42.8452;1.1159;B1;H1;-0.32;
2630;42.8463;1.2136;B1;H1;-0.32;
2631;42.8472;1.3112;B1;H1;-0.32;
2632;42.8481;1.4088;B1;H1;-0.32;
2633;42.8489;1.5065;B1;H1;-0.33;
2634;42.8497;1.6041;B1;H1;-0.33;
2635;42.8503;1.7018;B1;H1;-0.33;
2636;42.8508;1.7995;B1;H1;-0.33;
2637;42.8513;1.8971;B1;H1;-0.33;
2638;42.8516;1.9948;B1;H1;-0.46;
2639;42.8519;2.0924;B1;H1;-0.46;
2640;42.8521;2.1901;B1;H1;-0.46;
2641;42.8522;2.2877;B1;H1;-0.46;
2642;42.8522;2.3854;B1;H1;-0.67;
2643;42.8521;2.4831;B1;H1;-0.67;
2644;42.8519;2.5807;B1;H1;-0.67;
2645;42.8516;2.6784;B1;H1;-0.67;
2646;42.8513;2.776;B1;H1;-0.52;
2647;42.8508;2.8737;B1;H1;-0.51;
2648;42.8503;2.9714;B1;H1;-0.51;
2711;42.637;9.1072;B1;H1;-0.14;
2712;42.6308;9.2042;B1;H1;-0.17;
2713;42.6245;9.3011;B1;H1;-0.17;
2714;42.6181;9.398;B1;H1;-0.17;
2754;42.8824;-0.6444;B1;H1;-0.38;
2755;42.8851;-0.5467;B1;H1;-0.38;
2756;42.8877;-0.4491;B1;H1;-0.39;
2757;42.8902;-0.3514;B1;H1;-0.37;
2758;42.8926;-0.2537;B1;H1;-0.2;
2759;42.895;-0.156;B1;H1;-0.21;
2760;42.8972;-0.0584;B1;H1;-0.22;
2761;42.8993;0.0393;B1;H1;-0.21;
2762;42.9014;0.137;B1;H1;-0.21;
2763;42.9034;0.2348;B1;H1;-0.21;
2764;42.9052;0.3325;B1;H1;-0.18;
2765;42.907;0.4302;B1;H1;-0.2;
2766;42.9087;0.5279;B1;H1;-0.18;
2767;42.9103;0.6257;B1;H1;-0.33;
2768;42.9118;0.7234;B1;H1;-0.3;
2769;42.9133;0.8211;B1;H1;-0.3;
2770;42.9146;0.9189;B1;H1;-0.32;
2771;42.9159;1.0166;B1;H1;-0.32;
2772;42.917;1.1144;B1;H1;-0.32;
2773;42.9181;1.2122;B1;H1;-0.32;
2774;42.9191;1.3099;B1;H1;-0.32;
2775;42.92;1.4077;B1;H1;-0.32;
2776;42.9208;1.5055;B1;H1;-0.34;
2777;42.9215;1.6032;B1;H1;-0.34;
2778;42.9221;1.701;B1;H1;-0.34;
