Point;Latitude;Longitude;Contexte;P�riode;NORSPI;
2066;42.5642;1.9965;A1B;H1;-0.22;
2067;42.5645;2.0936;A1B;H1;-0.22;
2068;42.5647;2.1908;A1B;H1;-0.1;
2069;42.5648;2.288;A1B;H1;-0.14;
2070;42.5648;2.3852;A1B;H1;-0.14;
2071;42.5647;2.4823;A1B;H1;-0.14;
2072;42.5645;2.5795;A1B;H1;-0.35;
2073;42.5642;2.6767;A1B;H1;-0.37;
2074;42.5639;2.7739;A1B;H1;-0.38;
2075;42.5634;2.8711;A1B;H1;-0.22;
2076;42.5629;2.9682;A1B;H1;-0.21;
2135;42.3746;8.6879;A1B;H1;-0.2;
2136;42.3688;8.7844;A1B;H1;-0.5;
2137;42.3629;8.8809;A1B;H1;-0.49;
2138;42.3568;8.9774;A1B;H1;-0.5;
2139;42.3507;9.0739;A1B;H1;-0.51;
2140;42.3446;9.1704;A1B;H1;-0.11;
2141;42.3383;9.2668;A1B;H1;0.03;
2142;42.3319;9.3632;A1B;H1;0.03;
2143;42.3254;9.4596;A1B;H1;-0.54;
2203;42.6326;1.4123;A1B;H1;-0.47;
2204;42.6334;1.5096;A1B;H1;-0.23;
2205;42.6341;1.6069;A1B;H1;-0.47;
2206;42.6347;1.7042;A1B;H1;-0.47;
2207;42.6353;1.8014;A1B;H1;-0.49;
2208;42.6357;1.8987;A1B;H1;-0.47;
2209;42.6361;1.996;A1B;H1;-0.47;
2210;42.6363;2.0933;A1B;H1;-0.22;
2211;42.6365;2.1906;A1B;H1;-0.51;
2212;42.6366;2.2879;A1B;H1;-0.14;
2213;42.6366;2.3852;A1B;H1;-0.14;
2214;42.6365;2.4825;A1B;H1;-0.36;
2215;42.6363;2.5798;A1B;H1;-0.38;
2216;42.6361;2.6771;A1B;H1;-0.38;
2217;42.6357;2.7744;A1B;H1;-0.22;
2218;42.6353;2.8717;A1B;H1;-0.21;
2219;42.6347;2.969;A1B;H1;-0.21;
2278;42.4462;8.6957;A1B;H1;-0.2;
2279;42.4404;8.7924;A1B;H1;-0.19;
2280;42.4344;8.889;A1B;H1;-0.5;
2281;42.4284;8.9856;A1B;H1;-0.51;
2282;42.4223;9.0822;A1B;H1;-0.51;
2283;42.4161;9.1788;A1B;H1;-0.11;
2284;42.4098;9.2753;A1B;H1;0.03;
2285;42.4034;9.3719;A1B;H1;0.02;
2286;42.397;9.4684;A1B;H1;-0.54;
2336;42.6915;0.4373;A1B;H1;-0.59;
2337;42.6932;0.5346;A1B;H1;-0.51;
2338;42.6948;0.632;A1B;H1;-0.5;
2346;42.7044;1.4111;A1B;H1;-0.49;
2347;42.7052;1.5086;A1B;H1;-0.49;
2348;42.706;1.606;A1B;H1;-0.49;
2349;42.7066;1.7034;A1B;H1;-0.49;
2350;42.7071;1.8008;A1B;H1;-0.49;
2351;42.7076;1.8982;A1B;H1;-0.49;
2352;42.7079;1.9956;A1B;H1;-0.49;
2353;42.7082;2.093;A1B;H1;-0.25;
2354;42.7084;2.1905;A1B;H1;-0.51;
2355;42.7085;2.2879;A1B;H1;-0.51;
2356;42.7085;2.3853;A1B;H1;-0.19;
2357;42.7084;2.4827;A1B;H1;-0.2;
2358;42.7082;2.5801;A1B;H1;-0.19;
2359;42.7079;2.6775;A1B;H1;-0.2;
2360;42.7076;2.775;A1B;H1;-0.22;
2361;42.7071;2.8724;A1B;H1;-0.21;
2362;42.7066;2.9698;A1B;H1;-0.21;
2421;42.5178;8.7036;A1B;H1;-0.2;
2422;42.512;8.8003;A1B;H1;-0.2;
2423;42.506;8.8971;A1B;H1;-0.19;
2424;42.5;8.9938;A1B;H1;-0.51;
2425;42.4939;9.0905;A1B;H1;-0.5;
2426;42.4877;9.1872;A1B;H1;-0.11;
2427;42.4814;9.2839;A1B;H1;-0.11;
2428;42.475;9.3805;A1B;H1;-0.54;
2429;42.4685;9.4772;A1B;H1;-0.54;
2474;42.7535;-0.0524;A1B;H1;-0.56;
2475;42.7557;0.045;A1B;H1;-0.56;
2476;42.7577;0.1425;A1B;H1;-0.57;
2477;42.7597;0.24;A1B;H1;-0.56;
2478;42.7616;0.3374;A1B;H1;-0.56;
2479;42.7634;0.4349;A1B;H1;-0.35;
2480;42.765;0.5324;A1B;H1;-0.49;
2481;42.7667;0.6299;A1B;H1;-0.5;
2484;42.7709;0.9224;A1B;H1;-0.55;
2486;42.7733;1.1174;A1B;H1;-0.55;
2487;42.7744;1.2149;A1B;H1;-0.54;
2488;42.7754;1.3125;A1B;H1;-0.54;
2489;42.7763;1.41;A1B;H1;-0.54;
2490;42.7771;1.5075;A1B;H1;-0.49;
